,,,,,,,,,,,,,,,,,,,,"1,000.00",,,,,,
,No. of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Open,Price,Close,Price,Current,Status,Result,Profit,Selected,Profit Trades,Change,Shares,,Completed trade,Total profit,Profit %,Profit % per month,Winning %
WRB,11,81.89,27.27,1.48,,2023/8/15,,2023/8/29,15/08,63.8,29/08,61.28,70.21,Completed,Profit,37.80,,TRUE,-2.52,15.00,,,,,,
AON,17,236.46,41.18,1.94,2023/8/16,,2023/8/17,,16/08,317.55,17/08,321.28,291.67,Completed,Profit,11.19,,TRUE,3.73,3.00,,,,,,
XOM,7,103.40,42.86,1.98,,2023/8/16,,2023/8/18,16/08,108.16,18/08,108.4,101.91,Completed,Loss,(2.16),,FALSE,0.24,9.00,,,,,,
GD,9,13.44,55.56,1.19,,2023/8/17,,2023/8/28,17/08,223.59,28/08,225.35,254.1,Completed,Loss,(7.04),,FALSE,1.76,4.00,,,,,,
NWS,10,144.06,10.00,1.79,,2023/8/17,,2023/8/28,17/08,21.59,28/08,21.32,24.94,Completed,Profit,12.42,TRUE,TRUE,-0.27,46.00,,,,,,
OXY,5,635.86,60.00,6.22,,2023/8/17,,2023/8/18,17/08,62.55,18/08,63.16,60.81,Completed,Loss,(9.15),,FALSE,0.61,15.00,,,,,,
WST,7,203.73,42.86,2.66,,2023/8/17,,2023/8/25,17/08,397.49,25/08,391.72,354.93,Completed,Profit,11.54,TRUE,TRUE,-5.77,2.00,,,,,,
AON,18,229.62,38.89,1.89,2023/8/18,,2023/9/5,,18/08,319,05/09,329.45,291.67,Completed,Profit,31.35,TRUE,TRUE,10.45,3.00,,,,,,
MKTX,11,147.97,45.46,1.99,2023/8/18,,2023/8/24,,18/08,249.18,24/08,250.43,288.19,Completed,Profit,5.00,,TRUE,1.25,4.00,,,,,,
HOLX,13,107.36,38.46,1.71,2023/8/21,,2023/8/24,,21/08,75.23,24/08,75.31,71.04,Completed,Profit,1.04,TRUE,TRUE,0.08,13.00,,,,,,
