,Stock,Belongs,Number of Trades,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL
368,PAYC,.SPX,12.0,131.94,33.333,1.553,False,False,False,False
369,PAYX,.NDX.SPX,13.0,28.44,38.462,1.149,False,False,False,False
370,PCAR,.NDX.SPX,5.0,42.353,40.0,1.421,False,False,False,False
371,PCG,.SPX,10.0,-329.69,10.0,0.053,False,False,False,False
372,PDD,.NDX,9.0,-130.1,33.333,0.49,False,False,False,False
373,PEAK,.SPX,9.0,-85.73,55.556,0.625,False,False,False,False
374,PEG,.SPX,9.0,114.54,44.444,2.623,False,False,False,False
375,PEP,.NDX.SPX,8.0,95.79,50.0,2.758,False,False,False,False
376,PFE,.SPX,7.0,186.309,42.857,2.141,False,False,False,False
377,PFG,.SPX,15.0,-372.24,26.667,0.226,False,False,False,False
378,PG,.SPX.DJI,9.0,288.17,77.778,10.128,False,False,False,False
379,PGR,.SPX,10.0,37.05,30.0,1.257,False,False,False,False
380,PH,.SPX,10.0,-13.72,50.0,0.927,False,False,False,False
381,PHM,.SPX,13.0,-196.94,46.154,0.333,False,False,False,False
382,PKG,.SPX,9.0,-279.59,11.111,0.135,False,False,False,False
383,PLD,.SPX,12.0,96.22,58.333,1.71,False,False,False,False
384,PM,.SPX,11.0,126.36,36.364,2.108,False,False,False,False
385,PNC,.SPX,9.0,-8.65,44.444,0.925,False,False,False,False
386,PNR,.SPX,17.0,-233.37,29.412,0.335,False,False,False,False
387,PNW,.SPX,5.0,-37.36,20.0,0.693,False,True,False,False
388,PODD,.SPX,12.0,150.57,33.333,1.562,False,False,False,False
389,POOL,.SPX,13.0,-112.17,38.462,0.589,False,False,False,False
390,PPG,.SPX,14.0,107.6,42.857,1.455,False,False,False,False
391,PPL,.SPX,9.0,-74.66,33.333,0.673,False,False,False,False
392,PRU,.SPX,8.0,3.58,50.0,1.036,False,False,False,False
393,PSA,.SPX,9.0,235.77,44.444,3.579,False,False,False,False
394,PSX,.SPX,15.0,417.3,46.667,2.333,False,False,False,False
395,PTC,.SPX,15.0,-93.38,26.667,0.786,False,False,False,False
396,PWR,.SPX,15.0,-337.88,20.0,0.208,False,False,False,False
397,PXD,.SPX,9.0,-270.77,11.111,0.019,False,False,False,False
398,PYPL,.NDX.SPX,10.0,-152.53,40.0,0.357,False,False,False,False
399,QCOM,.NDX.SPX,14.0,-112.35,14.286,0.68,False,False,False,False
400,QRVO,.SPX,18.0,-708.26,5.556,0.068,False,False,False,False
401,RCL,.SPX,8.0,246.85,25.0,2.629,False,False,False,False
402,REG,.SPX,14.0,-395.97,35.714,0.158,False,False,False,False
403,REGN,.NDX.SPX,10.0,0.39,30.0,1.002,False,False,False,False
404,RF,.SPX,10.0,-48.02,40.0,0.799,False,False,False,False
405,RHI,.SPX,9.0,-25.34,22.222,0.779,False,False,False,False
406,RJF,.SPX,9.0,-132.466,11.111,0.603,False,False,False,False
407,RL,.SPX,6.0,-106.43,16.667,0.42,False,False,False,False
408,RMD,.SPX,8.0,17.75,50.0,1.116,False,False,False,False
409,ROK,.SPX,11.0,-310.97,9.091,0.042,False,False,False,False
410,ROL,.SPX,9.0,-76.343,22.222,0.492,False,False,False,False
411,ROP,.SPX,9.0,-82.46,22.222,0.461,False,False,False,False
412,ROST,.NDX.SPX,9.0,11.2,33.333,1.051,False,False,False,False
413,RSG,.SPX,11.0,-39.15,18.182,0.716,False,False,False,False
414,RTX,.SPX,10.0,-223.217,20.0,0.245,False,False,False,False
415,RVTY,.SPX,11.0,-326.13,9.091,0.125,False,False,False,False
416,SBAC,.SPX,10.0,48.77,50.0,1.267,False,False,False,False
417,SBUX,.NDX.SPX,10.0,-48.65,40.0,0.665,False,False,False,False
418,SCHW,.SPX,8.0,-36.61,25.0,0.784,False,False,False,False
