Stock,Belongs,Number of Trades in 4 years,Profit,Profit %,Profit Factor,BUY,SELL,CLOSE BUY,CLOSE SELL,Last Close
CME,.SPX,8,69.59,37.5,2.186,,20/10,,,214.12
CMG,.SPX,10,377.26,50,2.385,,,,,
CMI,.SPX,11,239.51,45.455,2.412,04/11,05/08,,30/08,225.88
CMS,.SPX,10,-77.61,30,0.493,,,,,
CNC,.SPX,11,44.63,36.364,1.203,,,,07/11,71.84
CNP,.SPX,11,-157.72,18.182,0.366,,,,,
COF,.SPX,9,-241.15,0,0,,,,,
COO,.SPX,12,-78.58,33.333,0.669,,,,,
COP,.SPX,12,-24.57,33.333,0.928,,,,,
COST,.SPX.NDX,13,42.37,30.769,1.254,,21/10,,31/10,554.88
CPB,.SPX,11,81.88,63.636,2.456,17/10,18/12,20/09,02/01,44.74
CPRT,.SPX.NDX,8,-151.545,12.5,0.129,,,,,
CRL,.SPX,10,-475.23,10,0,,,,,
CRM,.DJI.SPX,13,139.17,38.462,1.479,10/10,,14/10,,204.59
CRWD,.NDX,12,60.17,25,1.145,,22/09,,02/11,178.35
CSCO,.DJI.SPX.NDX,11,72.81,54.545,1.624,04/11,01/08,,04/08,53.01
CSGP,.NDX,10,-202.768,40,0.233,,,,,
CSX,.SPX.NDX,10,31.636,20,1.129,,,,,
CTAS,.SPX.NDX,10,1.29,40,1.013,,04/01,,13/01,593
CTLT,.SPX,8,-444.85,12.5,0.141,,,,,
CTRA,.SPX,8,208.93,37.5,1.8,,,,,
CTSH,.SPX.NDX,9,-99.25,33.333,0.495,,,,,
CTVA,.SPX,9,7.38,44.444,1.075,03/11,,,,49.56
CVS,.SPX,9,22.43,44.444,1.168,,,,12/08,74.87
CVX,.DJI.SPX,9,408.84,44.444,4.472,,04/10,,10/10,166.72
CZR,.SPX,18,216.9,16.667,1.297,,,,31/08,53.92
D,.SPX,7,58.15,42.857,1.871,,28/07,,,
DAL,.SPX,14,435.78,35.714,2.006,,,05/12,,37.61
DD,.SPX,9,-6.54,33.333,0.962,,,,,
DDOG,.NDX,11,-401.74,18.182,0.076,,,,,
DE,.SPX,8,-54.24,25,0.71,,,,,
DFS,.SPX,12,-390.17,16.667,0.065,,,,,
DG,.SPX,9,-224.19,0,0,,,,,
DGX,.SPX,15,443.86,60,3.937,,27/07,,,
DHI,.SPX,16,-472.08,18.75,0.198,,,,,
DHR,.SPX,5,-228.23,0,0,,,,,
DIS,.DJI.SPX,13,63.76,30.769,1.262,13/01,,17/01,,90.34
DLR,.SPX,13,35.26,46.154,1.179,11/10,,19/10,,120.56
DLTR,.SPX.NDX,12,207.04,50,2.04,,,,,
DOV,.SPX,14,62.52,42.857,1.417,07/11,,08/11,,130.47
DOW,.DJI.SPX,13,-325.49,15.385,0.165,,,,,
DPZ,.SPX,5,-216.33,0,0,,,,,
DRI,.SPX,8,-281.77,37.5,0.155,,,,28/07,
DTE,.SPX,9,-169.938,22.222,0.153,,,,,
DUK,.SPX,10,-79.89,30,0.62,,,,,
DVA,.SPX,6,37.09,50,1.323,,16/01,,02/08,104.82
DVN,.SPX,8,235.18,25,2.602,12/10,03/08,30/09,,46.75
DXC,.SPX,12,-387.43,16.667,0.329,,,,,
DXCM,.SPX.NDX,16,224.518,31.25,1.632,21/10,23/07,,11/08,85.97
EA,.SPX.NDX,9,-159.43,11.111,0.158,,,,,
EBAY,.SPX.NDX,13,-284.17,15.385,0.118,,,,,
ECL,.SPX,9,119.41,44.444,3.809,03/11,29/07,04/12,09/08,191.44
ED,.SPX,7,1.29,42.857,1.029,,,,,
EFX,.SPX,11,-28.4,36.364,0.848,,,,,
EIX,.SPX,9,-117.67,33.333,0.448,,,,,
EL,.SPX,17,-35.62,23.529,0.894,,,,,
EMN,.SPX,14,247.07,50,3.253,31/10,01/08,04/12,11/08,84.88
EMR,.SPX,11,0.87,36.364,1.007,07/11,,08/11,,84.94
ENPH,.SPX.NDX,10,339.09,30,2.032,,05/01,,,115.39
EOG,.SPX,9,-174.42,22.222,0.509,,,,,
EQIX,.SPX,11,-190.54,9.091,0.147,,,,,
EQR,.SPX,14,-28.5,21.429,0.88,,,,,
ES,.SPX,12,138.07,41.667,2.606,11/10,28/07,13/10,24/08,54.56
ESS,.SPX,13,-236.19,23.077,0.102,,,,,
ETN,.SPX,6,-130.2,16.667,0.007,,,,,
ETR,.SPX,10,123.65,40,1.899,,,,,
ETSY,.SPX,8,-158.77,25,0.689,,,,,
EVRG,.SPX,13,296.31,30.769,3.573,,18/12,19/10,28/12,52.24
EW,.SPX,13,-48.96,15.385,0.846,,,,,
EXC,.SPX.NDX,13,63.964,38.462,1.358,28/12,29/07,11/01,23/08,36.21
EXPD,.SPX,8,-100.17,25,0.155,,,,,
EXPE,.SPX,9,190.02,33.333,1.749,04/11,,,,112.71
EXR,.SPX,18,207.1,27.778,2.011,12/10,,18/12,,151.61
F,.SPX,9,-170.37,22.222,0.136,,,,,
FANG,.SPX.NDX,11,-86.52,45.455,0.83,,,,,
FAST,.SPX.NDX,12,16.37,33.333,1.075,,,30/09,,54.64
FCX,.SPX,5,-262.57,0,0,,,,,
FDX,.SPX,11,16.73,9.091,1.065,02/11,20/12,04/10,19/01,246.53
FE,.SPX,15,79.98,33.333,1.558,,29/07,,12/08,36.87
FFIV,.SPX,9,-183.85,22.222,0.228,,,,,
FIS,.SPX,10,2.8,20,1.023,31/08,,06/09,,55.64
FITB,.SPX,9,-321.91,11.111,0.008,,,,,
FLT,.SPX,9,-257.3,11.111,0.034,,,,,
FMC,.SPX,13,-54.04,30.769,0.751,,,,,
FOX,.SPX,11,-161.79,18.182,0.236,,,,,
FOXA,.SPX,10,-13.37,40,0.9,,,,,
FRT,.SPX,11,-413.9,27.273,0.07,,,,,
FTNT,.SPX.NDX,8,-118.44,25,0.634,,,,,
FTV,.SPX,9,-156.051,11.111,0.387,,,,,
GD,.SPX,11,1.28,45.455,1.015,,05/01,,13/01,254.81
GE,.SPX,9,37.889,33.333,1.139,,,,,
GILD,.SPX.NDX,8,129.99,62.5,5.49,30/11,,18/12,,79.5
GIS,.SPX,7,189.88,71.429,11.888,12/10,,13/10,,61.53
GL,.SPX,14,77.58,21.429,1.301,,29/07,,03/08,113.43
GLW,.SPX,7,-355.77,14.286,0.044,,,,,
GM,.SPX,13,-479.33,7.692,0.064,,,,,
GNRC,.SPX,11,-582.4,9.091,0.044,,,,,
